RVB_spsa,RVB_adam,HVA_spsa,HVA_adam
-17.154768373408277,-16.787601777901845,-16.17650134987875,-13.984155317709888
-17.152309614836682,-16.78760177797858,-16.199753967895397,-13.984155317715706
-17.15469078184485,-16.787601777884,-16.155005343629536,-13.984155317600301
-17.15360407995409,-16.78760177799829,-16.248393523836768,-13.984155317638349
-17.153067139184984,-16.787601777952116,-16.171869064213883,-13.984155317661134
-17.13943192256899,-16.787601777945834,-16.301127526898476,-14.147044557080172
-17.167885826507607,-16.836383011946612,-16.313675083662652,-14.147044557061195
-17.185969692887728,-16.83638301194683,-16.282815937269667,-14.147044557122145
-17.15921800018786,-16.836383011885953,-16.338393920813967,-14.147044557061108
-17.21008339490795,-16.836383011944037,-16.357401076071113,-14.147044557071553
-17.16814206273436,-16.83638301191055,-16.37097393631958,-14.14704455710858
-17.20988500241829,-16.836383011945497,-16.33193576994689,-14.147044557072569
-17.24957502646971,-16.836383011944502,-16.40202597755115,-14.147044557083085
-17.253892778607067,-16.83638301194423,-16.460653048191418,-14.147044557106195
-17.277880882518986,-16.836383011943653,-16.423259473566226,-14.147044557098805
-17.27734659264251,-16.836383011936633,-16.452968858499347,-14.147044557081063
-17.280955021610932,-16.836383011945045,-16.482558849193865,-14.147044557109025
-17.28199280501764,-16.836383011933638,-16.461286745260928,-14.147044557068579
-17.277084177926845,-16.836383011946765,-16.50398883311007,-14.14704455706581
-17.301341837901855,-16.836383011885196,-16.484439008307163,-14.147044557136997
-17.258931270906025,-16.836383011937063,-16.544341164625134,-14.147044557055374
-17.302247394168138,-16.836383011944342,-16.61156866267273,-14.14704455707119
-17.341815068485197,-16.836383011941244,-16.534124274664865,-14.147044557134242
-17.36550013245553,-16.836383011942694,-16.642536301289166,-14.14704455706009
-17.34997074035976,-16.836383011925843,-16.68755082620436,-14.14704455707537
-17.358626537785405,-16.836383011870627,-16.660122452240234,-14.147044556941646
-17.367994351884427,-16.836383011945134,-16.73470086641015,-14.147044556998386
-17.358057049548343,-16.83638301185307,-16.84226721462893,-14.147044557091537
-17.372469350544662,-16.836383011964255,-16.72474648579124,-14.147044557126938
-17.367063490928246,-16.836383011920635,-17.029743071650593,-14.147044556892995
-17.372977500262174,-16.836383011913806,-17.030211471613317,-14.14704455709234
-17.382292851687634,-16.883657871169046,-17.01545436826695,-14.147044557105358
-17.35920783317032,-16.883657871169575,-17.043862923917672,-14.147044556967355
-17.400246408926936,-16.883657871109452,-17.022403870513788,-14.14704455703434
-17.365623649496886,-16.883657871167735,-17.06208135065357,-14.14704455699654
-17.412117560167054,-16.88365787113363,-17.07406932367765,-14.147044557047472
-17.409125344919243,-16.88365787116802,-17.059687945942862,-14.147044556951306
-17.42231186780226,-16.883657871167074,-17.095121214326454,-14.147044557067602
-17.399465926177307,-16.883657871166886,-17.047495852677063,-14.147044557073668
-17.41957660826457,-16.8836578711663,-17.161185606041276,-14.14704455695974
-17.426533774937347,-16.883657871159524,-17.067157995494806,-14.14704455699312
-17.420461320900397,-16.883657871167475,-17.245029905531084,-14.147044557019129
-17.42760308901487,-16.883657871156668,-17.30821700239777,-14.301684931192328
-17.4221138570995,-16.88365787116908,-17.349048296183664,-14.301684931175432
-17.428034104005818,-16.883657871108767,-17.328849060175642,-14.301684931230424
-17.425784822713894,-16.883657871160118,-17.384666440175316,-14.301684931174933
-17.42649299454647,-16.88365787116688,-17.30777562330679,-14.301684931185182
-17.416026260200372,-16.883657871164033,-17.44151173150444,-14.301684931218979
-17.436029354202773,-16.883657871165322,-17.459944888024925,-14.301684931185697
-17.436828187461682,-16.883657871149037,-17.43909938357131,-14.301684931194105
-17.433677960390806,-16.883657871094456,-17.473544286538484,-14.301684931216643
-17.441298142576716,-16.883657871167408,-17.449000605547837,-14.301684931211343
-17.42944767917959,-16.88365787107738,-17.502933219091272,-14.301684931192236
-17.43940589616107,-16.88365787118547,-17.5367586326458,-14.301684931218063
-17.438044511985474,-16.8836578711444,-17.513094351546222,-14.301684931183498
-17.41781766441705,-16.88365787113699,-17.535909009756868,-14.301684931178809
-17.46010883545865,-16.929464300695052,-17.53198481432443,-14.30168493124556
-17.46533255504239,-16.92946430069546,-17.54045472095624,-14.30168493116981
-17.49652955887303,-16.92946430063661,-17.528727563150795,-14.301684931184528
-17.50255104091472,-16.929464300694892,-17.524645819708585,-14.301684931242807
-17.50381342336758,-16.929464300660275,-17.54903082857404,-14.30168493117405
-17.484838901889624,-16.92946430069408,-17.548496859249916,-14.301684931187935
-17.52187732083874,-16.929464300693173,-17.54528228513426,-14.30168493105752
-17.517902252861962,-16.929464300693102,-17.558016107860777,-14.30168493111198
-17.55243855854132,-16.929464300692516,-17.535520481068385,-14.30168493119869
