,HVA_adam
109,-17.959426524476907
110,-17.959426524310757
111,-17.96812052447644
112,-17.968120524476646
113,-17.96812052432888
114,-17.97547442066132
115,-17.975474420661506
116,-17.975474420531505
117,-17.981604154825682
118,-17.981604154825757
119,-17.981604154712866
120,-17.98662556838401
121,-17.986625568384024
122,-17.986625568287568
123,-17.990653164098184
124,-17.99065316409822
125,-17.990653164017367
126,-17.993799351612985
127,-17.99379935161299
128,-17.99379935154696
129,-17.996173499639255
130,-17.996173499639266
131,-17.996173499587226
132,-17.997880870876216
133,-17.997880870876198
134,-17.997880870837456
135,-17.999021685400695
136,-17.99902168540065
137,-17.99902168537433
138,-17.99969044894907
139,-17.999690448949067
140,-17.999690448934185
141,-17.999975195787634
142,-17.99997519578766
143,-17.999975195783453
144,-17.999956853025864
145,-17.99995685302587
146,-17.999956853031485
147,-17.99970883605862
148,-17.999708836058627
149,-17.999708836073097
150,-17.99929668761875
151,-17.999296687618745
152,-17.99929668764132
153,-17.99877797143826
154,-17.99877797143824
155,-17.99877797146809
156,-17.998202282930738
157,-17.99820228293077
158,-17.99820228296689
159,-17.997611287018582
160,-17.99761128701855
161,-17.997611287060355
162,-17.997039146402212
163,-17.99703914640221
164,-17.99703914644878
165,-17.996512811174235
166,-17.996512811174203
167,-17.99651281122477
168,-17.99605245536475
169,-17.996052455364758
170,-17.996052455418557
171,-17.99567216373549
172,-17.99567216373549
173,-17.99567216379184
174,-17.995380496955796
175,-17.995380496955775
176,-17.995380497014054
177,-17.99518124101681
178,-17.995181241016823
179,-17.99518124107631
180,-17.995074023889202
181,-17.995074023889206
182,-17.995074023949357
183,-17.995055066071643
184,-17.995055066071664
185,-17.995055066131883
186,-17.995117845049993
187,-17.995117845049947
188,-17.995117845109828
189,-17.995253806888094
190,-17.99525380688809
191,-17.995253806947087
192,-17.99545299397055
193,-17.99545299397053
194,-17.995452994028355
195,-17.99570466495439
196,-17.995704664954403
197,-17.99570466501059
198,-17.995997625791148
199,-17.99599762579109
200,-17.995997625845305
201,-17.99632060316718
202,-17.996320603167234
203,-17.99632060321916
204,-17.996662948286335
205,-17.99666294828632
206,-17.99666294833575
207,-17.997014552340374
208,-17.997014552340335
209,-17.997014552387117
210,-17.997366382453734
211,-17.997366382453794
212,-17.997366382497546
213,-17.99771041485527
214,-17.997710414855238
215,-17.99771041489614
216,-17.9980399736664
217,-17.99803997366639
218,-17.998039973704262
219,-17.998349647810986
220,-17.998349647810954
221,-17.99834964784568
222,-17.998635183357553
223,-17.99863518335759
224,-17.998635183389048
225,-17.9988935608971
226,-17.998893560897063
227,-17.998893560925506
228,-17.99912299116272
229,-17.99912299116271
230,-17.99912299118796
231,-17.99932264308284
232,-17.999322643082838
233,-17.99932264310503
234,-17.999492661706594
235,-17.9994926617066
236,-17.999492661725803
237,-17.999633974559384
238,-17.999633974559412
239,-17.999633974575662
240,-17.99974814378562
241,-17.999748143785673
242,-17.999748143799167
243,-17.999837281404766
244,-17.99983728140477
245,-17.99983728141555
246,-17.999903826216137
247,-17.99990382621617
248,-17.99990382622447
249,-17.999950521105138
250,-17.999950521105152
251,-17.99995052111111
252,-17.999980212012602
253,-17.999980212012584
254,-17.99998021201638
255,-17.999995766933502
256,-17.999995766933445
257,-17.999995766935225
258,-17.999999982373076
259,-17.999999982373026
260,-17.999999982372973
261,-17.99999550888277
262,-17.999995508882716
263,-17.99999550888094
264,-17.99998478979546
265,-17.99998478979551
266,-17.99998478979215
267,-17.99997001219568
268,-17.999970012195714
269,-17.999970012191024
270,-17.999953082208982
271,-17.999953082208982
272,-17.99995308220317
273,-17.999935604481777
274,-17.999935604481735
275,-17.999935604474906
276,-17.999918894741132
277,-17.99991889474114
278,-17.99991889473352
279,-17.999903938188993
280,-17.999903938188975
281,-17.999903938180644
282,-17.999891472496735
283,-17.999891472496767
284,-17.999891472487946
285,-17.999881939404776
286,-17.999881939404748
287,-17.9998819393956
288,-17.999875574440612
289,-17.9998755744406
290,-17.999875574431186
291,-17.99987241455908
292,-17.999872414559082
293,-17.999872414549518
294,-17.99987233622167
295,-17.999872336221657
296,-17.99987233621211
297,-17.999875080084788
298,-17.99987508008474
299,-17.999875080075284
300,-17.999880304870796
