,RVB_adam
211,-17.734373052045246
212,-17.734373052044212
213,-17.734373052013346
214,-17.734373051977066
215,-17.7343730520443
216,-17.73437305204783
217,-17.734373052044628
218,-17.734373052046244
219,-17.734373052043125
220,-17.734373052042788
221,-17.750253267578024
222,-17.75025326753991
223,-17.750253267556175
224,-17.75025326757713
225,-17.750253267576166
226,-17.750253267546533
227,-17.750253267510317
228,-17.75025326757704
229,-17.750253267579
230,-17.750253267576532
231,-17.750253267578017
232,-17.75025326757516
233,-17.75025326757487
234,-17.76523992667604
235,-17.765239926639577
236,-17.765239926655603
237,-17.76523992667528
238,-17.765239926674383
239,-17.765239926645954
240,-17.7652399266098
241,-17.765239926675985
242,-17.765239926676458
243,-17.765239926674685
244,-17.76523992667605
245,-17.76523992667345
246,-17.765239926673203
247,-17.779377194761597
248,-17.77937719472672
249,-17.779377194742526
250,-17.779377194760947
251,-17.779377194760116
252,-17.779377194732888
253,-17.77937719469679
254,-17.779377194762368
255,-17.779377194761512
256,-17.77937719476038
257,-17.779377194761608
258,-17.77937719475926
259,-17.779377194759057
260,-17.792712394937396
261,-17.792712394904097
262,-17.792712394919683
263,-17.79271239493685
264,-17.792712394936085
265,-17.792712394910048
266,-17.792712394874016
267,-17.792712394938917
268,-17.792712394936853
269,-17.7927123949363
270,-17.792712394937418
271,-17.79271239493529
272,-17.79271239493512
273,-17.80529334290603
274,-17.805293342874233
275,-17.805293342889595
276,-17.805293342905564
277,-17.80529334290486
278,-17.80529334287999
279,-17.805293342844053
280,-17.8052933429082
281,-17.80529334290505
282,-17.80529334290504
283,-17.805293342906058
284,-17.80529334290412
285,-17.805293342903997
286,-17.817167935327134
287,-17.817167935296823
288,-17.817167935311957
289,-17.81716793532674
290,-17.8171679353261
291,-17.817167935302393
292,-17.817167935266543
293,-17.81716793532992
294,-17.817167935325873
295,-17.81716793532625
296,-17.817167935327173
297,-17.81716793532544
298,-17.817167935325323
299,-17.828380900151117
300,-17.828380900122255
301,-17.828380900137144
302,-17.828380900150787
303,-17.828380900150215
304,-17.828380900127634
305,-17.828380900091854
306,-17.828380900154368
307,-17.828380900149604
308,-17.82838090015032
309,-17.828380900151164
310,-17.828380900149593
311,-17.828380900149504
312,-17.838973487781836
313,-17.838973487754366
314,-17.838973487769035
315,-17.838973487781573
316,-17.838973487781033
317,-17.83897348775958
318,-17.838973487723916
319,-17.838973487785495
320,-17.838973487780223
321,-17.83897348778113
322,-17.8389734877819
323,-17.83897348778048
324,-17.838973487780407
325,-17.848981681397927
326,-17.84898168137181
327,-17.84898168138625
328,-17.8489816813977
329,-17.848981681397216
330,-17.848981681376884
331,-17.848981681341332
332,-17.848981681401884
333,-17.848981681396292
334,-17.848981681397298
335,-17.848981681397966
336,-17.84898168139671
337,-17.848981681396666
338,-17.858436515710785
339,-17.858436515685995
340,-17.85843651570018
341,-17.85843651571061
342,-17.85843651571015
343,-17.858436515690908
344,-17.85843651565549
345,-17.85843651571497
346,-17.858436515709222
347,-17.858436515710228
348,-17.858436515710842
349,-17.858436515709716
350,-17.858436515709673
351,-17.867364812005263
352,-17.86736481198175
353,-17.867364811995703
354,-17.867364812005107
355,-17.867364812004716
356,-17.867364811986555
357,-17.867364811951255
358,-17.86736481200962
359,-17.86736481200387
360,-17.86736481200476
361,-17.867364812005324
362,-17.867364812004308
363,-17.867364812004283
364,-17.875789859582625
365,-17.8757898595604
366,-17.875789859574063
367,-17.875789859582508
368,-17.875789859582156
369,-17.87578985956501
370,-17.875789859529895
371,-17.87578985958704
372,-17.875789859581445
373,-17.875789859582188
374,-17.87578985958268
375,-17.87578985958178
376,-17.87578985958176
377,-17.88373256580602
378,-17.883732565784992
379,-17.883732565798407
380,-17.88373256580592
381,-17.88373256580559
382,-17.8837325657895
383,-17.883732565754546
384,-17.88373256581043
385,-17.883732565805097
386,-17.883732565805637
387,-17.88373256580606
388,-17.883732565805275
389,-17.883732565805264
390,-17.891212857339646
391,-17.891212857319786
392,-17.89121285733295
393,-17.89121285733957
394,-17.891212857339287
395,-17.89121285732418
396,-17.89121285728941
397,-17.891212857343984
398,-17.89121285733902
399,-17.891212857339305
400,-17.891212857339685
401,-17.891212857338996
402,-17.891212857338985
403,-17.898250164405514
404,-17.898250164386788
405,-17.898250164399666
406,-17.898250164405454
407,-17.898250164405205
408,-17.898250164391083
409,-17.89825016435651
410,-17.898250164409742
411,-17.898250164405198
412,-17.898250164405212
413,-17.898250164405574
414,-17.898250164404942
415,-17.898250164404924
416,-17.904864228418877
417,-17.904864228401266
418,-17.904864228413846
419,-17.90486422841883
420,-17.904864228418617
421,-17.90486422840544
422,-17.9048642283711
423,-17.904864228422902
424,-17.90486422841884
425,-17.90486422841861
426,-17.904864228418912
427,-17.904864228418372
428,-17.90486422841837
429,-17.91107481042912
430,-17.91107481041258
431,-17.911074810424875
432,-17.911074810429085
433,-17.911074810428886
434,-17.911074810416643
435,-17.911074810382537
436,-17.911074810432925
437,-17.91107481042936
438,-17.91107481042889
439,-17.91107481042915
440,-17.91107481042869
441,-17.911074810428676
442,-17.9169022494925
443,-17.916902249477
444,-17.916902249488977
445,-17.91690224949247
446,-17.91690224949229
447,-17.916902249480952
448,-17.91690224944711
449,-17.91690224949605
450,-17.91690224949298
451,-17.916902249492296
452,-17.91690224949253
453,-17.91690224949212
454,-17.916902249492107
455,-17.922366859741846
456,-17.922366859727354
457,-17.92236685973901
458,-17.922366859741828
459,-17.92236685974168
460,-17.92236685973119
461,-17.922366859697625
462,-17.92236685974509
463,-17.922366859742507
464,-17.92236685974168
465,-17.92236685974187
466,-17.92236685974151
467,-17.922366859741512
468,-17.927488366112286
469,-17.927488366098757
470,-17.9274883661101
471,-17.927488366112268
472,-17.92748836611214
473,-17.927488366102487
474,-17.927488366069237
475,-17.927488366115213
476,-17.927488366113074
477,-17.927488366112136
478,-17.927488366112318
479,-17.927488366111998
480,-17.927488366111987
481,-17.93228573736568
482,-17.932285737353087
483,-17.932285737364086
484,-17.932285737365675
485,-17.932285737365557
486,-17.932285737356732
487,-17.932285737323767
488,-17.932285737368254
489,-17.93228573736654
490,-17.932285737365557
491,-17.9322857373657
492,-17.932285737365433
493,-17.932285737365437
494,-17.936776868544136
495,-17.936776868532423
496,-17.936776868543085
497,-17.936776868544126
498,-17.936776868544015
499,-17.936776868535983
500,-17.936776868503355
501,-17.93677686854636
502,-17.936776868544978
503,-17.936776868544012
504,-17.93677686854415
505,-17.936776868543912
506,-17.936776868543912
507,-17.940978597916637
508,-17.940978597905822
509,-17.940978597916114
510,-17.940978597916637
511,-17.940978597916548
512,-17.94097859790926
513,-17.94097859787699
514,-17.940978597918498
