,RVB_adam
1246,-17.9997709462463
1247,-17.9997709462463
1248,-17.99980911211291
1249,-17.999809112113365
1250,-17.999809112112523
1251,-17.999809112112914
1252,-17.99980911211291
1253,-17.999809112112963
1254,-17.999809112110597
1255,-17.99980911211275
1256,-17.999809112112878
1257,-17.999809112112903
1258,-17.99980911211291
1259,-17.999809112112917
1260,-17.99980911211292
1261,-17.99984207439016
1262,-17.999842074390564
1263,-17.999842074389797
1264,-17.999842074390155
1265,-17.999842074390163
1266,-17.999842074390163
1267,-17.999842074388045
1268,-17.999842074390017
1269,-17.999842074390152
1270,-17.99984207439016
1271,-17.999842074390173
1272,-17.999842074390163
1273,-17.999842074390166
1274,-17.999870376153275
1275,-17.99987037615363
1276,-17.99987037615293
1277,-17.99987037615327
1278,-17.99987037615327
1279,-17.999870376153233
1280,-17.99987037615136
1281,-17.999870376153126
1282,-17.99987037615329
1283,-17.999870376153265
1284,-17.99987037615327
1285,-17.99987037615327
1286,-17.99987037615327
1287,-17.999894529289733
1288,-17.99989452929003
1289,-17.99989452928941
1290,-17.999894529289733
1291,-17.999894529289733
1292,-17.99989452928965
1293,-17.999894529288014
1294,-17.999894529289588
1295,-17.999894529289758
1296,-17.99989452928973
1297,-17.99989452928973
1298,-17.999894529289737
1299,-17.999894529289726
1300,-17.999914999169196
